                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    114,                0.90489,                0.51433,                 1.1335,                0.88272,                0.91482,                0.91532,                0.66462,                0.99398,                0.41721,                 1.1111,              0.0077626,              0.0077626,              0.0077626
                    115,                 0.9037,                0.51189,                 1.1369,                0.88125,                0.91486,                0.91437,                0.66369,                0.99392,                0.41661,                  1.111,              0.0077428,              0.0077428,              0.0077428
                    116,                0.90346,                0.51012,                 1.1294,                0.88053,                0.91509,                0.91429,                0.66339,                0.99435,                0.41657,                 1.1102,               0.007723,               0.007723,               0.007723
                    117,                0.90378,                0.50945,                 1.1319,                0.88072,                0.91498,                0.91398,                0.66355,                0.99292,                0.41654,                 1.1084,              0.0077032,              0.0077032,              0.0077032
                    118,                0.90148,                0.50925,                 1.1305,                0.88107,                0.91509,                0.91425,                0.66332,                0.99268,                0.41655,                 1.1074,              0.0076834,              0.0076834,              0.0076834
                    119,                0.90704,                0.51054,                 1.1349,                0.88252,                0.91355,                0.91328,                 0.6627,                0.99258,                0.41652,                 1.1067,              0.0076636,              0.0076636,              0.0076636
                    120,                 0.9015,                0.51398,                 1.1358,                0.88259,                0.91378,                0.91409,                 0.6629,                0.99267,                 0.4159,                 1.1058,              0.0076438,              0.0076438,              0.0076438
                    121,                0.90337,                0.51183,                 1.1346,                0.88201,                0.91378,                0.91428,                0.66251,                 0.9924,                0.41539,                 1.1045,               0.007624,               0.007624,               0.007624
                    122,                0.89942,                0.50761,                 1.1316,                0.88171,                0.91327,                0.91344,                0.66157,                0.99253,                0.41502,                 1.1037,              0.0076042,              0.0076042,              0.0076042
                    123,                0.90078,                0.50553,                 1.1309,                0.88035,                0.91378,                0.91388,                0.66105,                0.99212,                0.41569,                 1.1031,              0.0075844,              0.0075844,              0.0075844
                    124,                0.90153,                0.50997,                  1.131,                 0.8802,                  0.914,                0.91497,                0.66086,                 0.9922,                0.41535,                 1.1023,              0.0075646,              0.0075646,              0.0075646
                    125,                0.90129,                0.51074,                 1.1351,                0.87943,                 0.9141,                0.91464,                0.66162,                0.99218,                0.41596,                 1.1022,              0.0075448,              0.0075448,              0.0075448
                    126,                0.89253,                0.50299,                 1.1308,                0.87959,                 0.9141,                 0.9139,                0.66115,                0.99225,                0.41598,                 1.1024,               0.007525,               0.007525,               0.007525
                    127,                0.89905,                0.50683,                 1.1295,                0.88008,                  0.914,                 0.9142,                0.66112,                0.99272,                0.41524,                 1.1022,              0.0075052,              0.0075052,              0.0075052
                    128,                0.89694,                0.50847,                 1.1294,                0.87863,                0.91436,                0.91445,                0.66091,                0.99247,                0.41483,                 1.1016,              0.0074854,              0.0074854,              0.0074854
                    129,                0.89549,                0.50787,                  1.128,                0.87961,                0.91435,                0.91408,                0.66257,                 0.9915,                0.41445,                 1.1002,              0.0074656,              0.0074656,              0.0074656
                    130,                0.90055,                   0.51,                 1.1478,                0.87995,                0.91423,                0.91492,                0.66257,                0.99167,                0.41479,                 1.1009,              0.0074458,              0.0074458,              0.0074458
                    131,                  0.897,                0.50745,                 1.1339,                0.87923,                0.91446,                0.91457,                 0.6617,                 0.9907,                0.41468,                    1.1,               0.007426,               0.007426,               0.007426
                    132,                0.89703,                0.51036,                 1.1303,                 0.8796,                0.91605,                0.91371,                0.66203,                 0.9913,                0.41479,                 1.0996,              0.0074062,              0.0074062,              0.0074062
                    133,                0.89706,                0.50421,                 1.1243,                0.87785,                0.91514,                0.91381,                0.66055,                0.99159,                0.41437,                 1.0984,              0.0073864,              0.0073864,              0.0073864
                    134,                0.89745,                0.50924,                 1.1297,                0.87807,                0.91637,                0.91306,                0.65949,                0.99094,                0.41346,                  1.097,              0.0073666,              0.0073666,              0.0073666
